////////////////////////////////
/    QP ORBIT EXCHANGE FILE    /
////////////////////////////////
/ METADATA
* Eq. point : L2
* Family : QP North Halo
* Parametrization : N1=30 N2=26, m=5
* Jacobi : 3.00078321874999
* Rot Par: 0.0458808102954299
* Period : 3.0953562304016584
* Stability index : 701.74298
////////////////////////////////
/ ORBITAL DATA
/ _th1_ _th2_ | ________ t _______ | ________ x ________ | ________ y ________ | ________ z ________ | _______ dx ________ | _______ dy ________ | _______ dz ________ |
^    1     1    0.0000000000000000    1.0079283242926294    0.0000386392486801   -0.0021001218143250   -0.0000000012613020    0.0113656780067971   -0.0000260302072447   
+                                     0.0493411242599702    0.0474284429490202   -0.0062801749658171   -0.1495073821466399   -0.0953243812740497    0.0460782416778293   
-                                     0.0497090691091431   -0.0473961813197332   -0.0062243215116035    0.1507621189996193   -0.0943506835439914   -0.0461660978736520   
^    1     2    0.0000000000000000    1.0079278336771789    0.0000462245517278   -0.0020926127808136    0.0000000604525531    0.0113753535613198   -0.0000305024234940   
+                                     0.0493016719312526    0.0474451806620673   -0.0062636877687189   -0.1494659293105413   -0.0954465213784306    0.0459377931191383   
-                                     0.0497402546385675   -0.0474055010370290   -0.0061990175953943    0.1509626252313063   -0.0942774044006770   -0.0460444962627704   
^    1     3    0.0000000000000000    1.0079272772841921    0.0000509889436156   -0.0020840683060164    0.0000000815577894    0.0113863902350071   -0.0000333410016610   
+                                     0.0492746902812896    0.0474624143046888   -0.0062428116029610   -0.1494803159142165   -0.0955364536475188    0.0457830368530420   
-                                     0.0497577152858752   -0.0474181102603807   -0.0061723628927278    0.1511296363120638   -0.0942438531410902   -0.0459008020417610   
^    1     4    0.0000000000000000    1.0079266883662064    0.0000526647635727   -0.0020749906061814    0.0000000655424520    0.0113981480109318   -0.0000343785066629   
+                                     0.0492617002255430    0.0474791710762936   -0.0062187531964769   -0.1495496445812525   -0.0955890793110192    0.0456229217714300   
